Tipo_Ataque,Tasa_Ocurrencia (%),Vector_Infeccion,Nivel_Impacto (1-10),Tiempo_Recuperacion (horas),Costo_Recuperacion (USD)
Adware,64,Correo electrónico,4,11,1380
Phishing,65,Ingeniería social,4,75,14538
Virus,45,Correo electrónico,7,74,6004
Adware,60,Correo electrónico,2,14,935
Rootkit,34,USB,10,236,7854
Adware,59,Descarga de archivos,1,7,1641
Rootkit,17,Descarga de archivos,8,287,34592
Gusano (Worm),55,Correo electrónico,9,25,12286
Adware,45,Sitio web comprometido,3,3,1448
Rootkit,21,Vulnerabilidad de red,8,56,36625
Ataque DDoS,58,Ingeniería social,6,25,34069
Phishing,95,Correo electrónico,7,75,14539
Phishing,83,Ingeniería social,5,12,14141
Botnet,25,Vulnerabilidad de red,6,76,11571
Adware,73,Descarga de archivos,1,8,563
Adware,67,Sitio web comprometido,4,3,1752
Virus,55,Descarga de archivos,7,43,7167
Ataque DDoS,42,Ingeniería social,9,67,11762
Virus,41,Sitio web comprometido,3,9,2591
Virus,44,USB,4,27,6897
Gusano (Worm),36,Sitio web comprometido,5,116,15696
Virus,71,USB,4,6,1383
Adware,44,Descarga de archivos,1,5,306
Ransomware,27,Sitio web comprometido,7,343,41994
Phishing,85,Correo electrónico,4,40,2603
Virus,40,USB,5,53,6683
Ataque DDoS,21,Vulnerabilidad de red,6,121,27243
Gusano (Worm),39,Vulnerabilidad de red,9,52,12800
Botnet,36,Vulnerabilidad de red,9,148,8735
Ransomware,54,Sitio web comprometido,8,228,48475
Virus,56,Descarga de archivos,4,14,5180
Ransomware,52,Descarga de archivos,9,372,14978
Adware,40,Sitio web comprometido,4,15,1609
Spyware,58,Sitio web comprometido,6,19,2212
Gusano (Worm),26,Vulnerabilidad de red,9,91,13938
Botnet,45,Vulnerabilidad de red,8,93,17308
Virus,58,Correo electrónico,4,55,7537
Ransomware,22,Vulnerabilidad de red,9,246,43033
Phishing,65,Ingeniería social,7,32,570
Rootkit,14,Vulnerabilidad de red,9,83,19766
Ataque DDoS,36,Ingeniería social,5,116,9216
Spyware,23,Sitio web comprometido,3,43,4801
Phishing,75,Correo electrónico,6,5,660
Botnet,30,Correo electrónico,6,179,21238
Adware,46,Descarga de archivos,1,9,1094
Virus,78,Descarga de archivos,6,78,5781
Botnet,20,Vulnerabilidad de red,6,73,5480
Virus,53,Correo electrónico,4,9,790
Ataque DDoS,45,Vulnerabilidad de red,7,36,25985
Spyware,58,Correo electrónico,3,60,5119
Phishing,68,Ingeniería social,5,19,9170
Gusano (Worm),48,Vulnerabilidad de red,8,130,16030
Phishing,53,Correo electrónico,6,21,14145
Phishing,91,Ingeniería social,5,35,4292
Virus,41,Correo electrónico,3,74,6034
Troyano,61,Correo electrónico,5,116,7582
Gusano (Worm),28,USB,6,29,16858
Rootkit,9,Vulnerabilidad de red,9,90,14675
Gusano (Worm),44,Correo electrónico,7,66,1417
Adware,45,Descarga de archivos,2,15,1496
Virus,80,Correo electrónico,7,55,548
Rootkit,7,USB,7,283,8108
Phishing,80,Correo electrónico,5,58,3488
Virus,66,Sitio web comprometido,5,19,4813
Virus,49,Correo electrónico,5,75,823
Gusano (Worm),32,Correo electrónico,7,84,11014
Ransomware,41,Correo electrónico,8,485,39421
Virus,36,Correo electrónico,4,36,230
Phishing,46,Ingeniería social,5,27,7225
Ataque DDoS,39,Vulnerabilidad de red,10,176,6355
Phishing,89,Ingeniería social,6,83,4766
Ransomware,12,Correo electrónico,7,428,26448
Botnet,34,Descarga de archivos,8,40,10496
Phishing,96,Correo electrónico,5,7,10815
Troyano,58,Descarga de archivos,7,106,4124
Ransomware,18,Vulnerabilidad de red,7,385,20856
Ransomware,15,Descarga de archivos,7,293,28684
Virus,34,Correo electrónico,5,5,4947
Rootkit,23,Sitio web comprometido,7,38,23520
Phishing,70,Correo electrónico,7,84,11972
Virus,77,Descarga de archivos,7,33,7313
Phishing,60,Ingeniería social,7,50,12460
Phishing,84,Correo electrónico,8,41,7656
Phishing,70,Correo electrónico,6,82,5918
Ransomware,44,Sitio web comprometido,10,284,43817
Adware,73,Descarga de archivos,2,19,1101
Adware,34,Sitio web comprometido,1,7,975
Spyware,28,Descarga de archivos,3,10,3629
Ransomware,54,Sitio web comprometido,10,280,11156
Troyano,34,Descarga de archivos,5,88,8453
Rootkit,35,Descarga de archivos,8,283,25393
Spyware,26,Sitio web comprometido,4,13,2469
Phishing,84,Correo electrónico,5,94,14328
Phishing,70,Sitio web comprometido,7,76,2394
Ataque DDoS,31,Ingeniería social,5,10,28258
Virus,73,Sitio web comprometido,3,78,7396
Troyano,41,Sitio web comprometido,9,71,5031
Gusano (Worm),53,Sitio web comprometido,9,42,5077
Troyano,25,Sitio web comprometido,5,16,13062
Phishing,46,Correo electrónico,6,93,11003
Ataque DDoS,44,Ingeniería social,9,30,3607
Phishing,49,Ingeniería social,7,76,12075
Ataque DDoS,58,Sitio web comprometido,8,152,24971
Ataque DDoS,16,Vulnerabilidad de red,9,49,16633
Ataque DDoS,19,Vulnerabilidad de red,8,76,4701
Botnet,19,Correo electrónico,8,172,23297
Ataque DDoS,22,Ingeniería social,6,34,26637
Adware,65,Descarga de archivos,1,3,1490
Rootkit,25,Descarga de archivos,9,33,3507
Adware,56,Sitio web comprometido,4,1,735
Phishing,54,Correo electrónico,6,80,11877
Phishing,58,Ingeniería social,5,22,4354
Gusano (Worm),40,Sitio web comprometido,7,70,19426
Troyano,37,Sitio web comprometido,9,67,14476
Adware,64,Sitio web comprometido,1,20,1747
Phishing,97,Ingeniería social,6,81,14287
Botnet,36,Vulnerabilidad de red,5,196,18287
Ataque DDoS,35,Sitio web comprometido,8,79,3195
Troyano,30,Correo electrónico,6,56,2688
Ransomware,14,Vulnerabilidad de red,10,471,40615
Adware,54,Descarga de archivos,4,11,676
Phishing,58,Correo electrónico,7,71,1927
Ransomware,43,Sitio web comprometido,7,59,41984
Botnet,50,Correo electrónico,8,54,7742
Spyware,53,Descarga de archivos,6,4,2163
Ataque DDoS,21,Vulnerabilidad de red,9,43,12849
Virus,61,USB,4,4,7853
Ransomware,35,Sitio web comprometido,10,275,35724
Troyano,69,Correo electrónico,9,99,16097
Phishing,91,Correo electrónico,5,60,8501
Spyware,33,Descarga de archivos,7,43,4527
Ransomware,44,Correo electrónico,7,317,23530
Ransomware,44,Vulnerabilidad de red,10,454,7346
Ataque DDoS,56,Vulnerabilidad de red,6,86,3112
Phishing,66,Ingeniería social,8,90,3994
Phishing,86,Ingeniería social,7,26,13837
Botnet,21,Descarga de archivos,8,26,10705
Gusano (Worm),51,Correo electrónico,5,32,7999
Rootkit,12,Sitio web comprometido,9,134,19382
Gusano (Worm),37,Sitio web comprometido,8,52,8746
Virus,45,Correo electrónico,5,45,3144
Adware,48,Sitio web comprometido,4,11,596
Phishing,67,Ingeniería social,5,36,14341
Phishing,49,Correo electrónico,6,63,9094
Adware,88,Descarga de archivos,4,3,1506
Troyano,36,Correo electrónico,9,70,5604
Ransomware,39,Vulnerabilidad de red,7,111,8574
Phishing,42,Correo electrónico,6,70,13730
Ataque DDoS,26,Vulnerabilidad de red,5,24,2474
Botnet,30,Correo electrónico,5,49,24693
Troyano,46,Ingeniería social,8,83,817
Troyano,43,Descarga de archivos,5,19,15377
Phishing,89,Correo electrónico,8,82,14947
Spyware,58,Descarga de archivos,7,39,3968
Ransomware,50,Vulnerabilidad de red,9,305,48620
Virus,47,Descarga de archivos,7,34,3087
Gusano (Worm),29,USB,6,101,16783
Phishing,87,Correo electrónico,5,59,3871
Troyano,60,Ingeniería social,7,24,7272
Troyano,33,Sitio web comprometido,6,66,16335
Virus,63,Descarga de archivos,5,51,7928
Phishing,97,Sitio web comprometido,6,74,10657
Virus,66,Correo electrónico,5,33,3950
Spyware,55,Descarga de archivos,7,51,1833
Botnet,13,Correo electrónico,6,115,6819
Phishing,68,Ingeniería social,7,12,14725
Adware,36,Descarga de archivos,4,10,1114
Rootkit,15,Sitio web comprometido,10,143,24365
Gusano (Worm),47,USB,9,28,10029
Ransomware,37,Sitio web comprometido,9,237,29433
Botnet,32,Descarga de archivos,8,150,10140
Adware,51,Descarga de archivos,1,4,1391
Adware,38,Descarga de archivos,2,19,798
Phishing,81,Sitio web comprometido,7,86,5283
Phishing,68,Correo electrónico,4,7,827
Ataque DDoS,43,Ingeniería social,7,159,11852
Ransomware,24,Correo electrónico,9,366,17625
Rootkit,11,USB,7,185,16493
Botnet,28,Vulnerabilidad de red,8,130,1256
Virus,79,Descarga de archivos,6,65,1120
Botnet,26,Vulnerabilidad de red,8,60,21014
Spyware,57,Sitio web comprometido,6,23,4858
Rootkit,27,Descarga de archivos,9,120,29236
Phishing,88,Ingeniería social,6,13,4160
Adware,70,Sitio web comprometido,4,9,1547
Adware,66,Descarga de archivos,2,4,358
Virus,66,Correo electrónico,7,36,6781
Troyano,68,Descarga de archivos,6,102,7803
Botnet,36,Sitio web comprometido,7,54,16875
Rootkit,27,Vulnerabilidad de red,7,207,28583
Adware,62,Correo electrónico,4,16,672
Ransomware,24,Correo electrónico,7,286,29404
Spyware,60,Sitio web comprometido,5,4,5504
Spyware,52,Sitio web comprometido,6,49,5586
Adware,84,Sitio web comprometido,4,7,556
Phishing,76,Sitio web comprometido,8,95,5787
Spyware,46,Descarga de archivos,5,30,1359
Adware,58,Sitio web comprometido,2,4,1662
Botnet,35,Sitio web comprometido,7,125,1120
Ransomware,40,Correo electrónico,7,225,25868
Ransomware,36,Descarga de archivos,7,471,33434
Ataque DDoS,39,Ingeniería social,7,119,7098
Ataque DDoS,60,Vulnerabilidad de red,9,79,4924
Virus,62,Sitio web comprometido,3,61,4118
Spyware,38,Descarga de archivos,6,56,3037
Spyware,34,Descarga de archivos,4,46,5622
Gusano (Worm),44,Vulnerabilidad de red,9,92,6307
Virus,77,Descarga de archivos,5,50,7272
Botnet,23,Sitio web comprometido,5,60,15194
Botnet,35,Descarga de archivos,7,104,18863
Phishing,53,Correo electrónico,6,9,8851
Phishing,55,Ingeniería social,4,53,10721
Ransomware,39,Correo electrónico,7,377,14665
Phishing,86,Ingeniería social,4,14,12403
Virus,31,Sitio web comprometido,5,42,5859
Botnet,19,Descarga de archivos,8,126,10518
Ataque DDoS,51,Vulnerabilidad de red,9,119,26953
Virus,71,USB,5,65,2849
Botnet,48,Vulnerabilidad de red,8,77,15410
Ataque DDoS,43,Ingeniería social,8,142,23578
Rootkit,18,Vulnerabilidad de red,8,171,22059
Virus,60,Sitio web comprometido,4,8,4454
Troyano,29,Ingeniería social,8,83,7861
Ataque DDoS,54,Sitio web comprometido,7,110,21871
Rootkit,13,Sitio web comprometido,8,189,34478
Phishing,83,Correo electrónico,4,27,3956
Ransomware,20,Vulnerabilidad de red,9,456,42863
Ransomware,39,Sitio web comprometido,9,346,48076
Ransomware,24,Sitio web comprometido,10,375,10976
Phishing,75,Ingeniería social,4,22,11078
Botnet,35,Vulnerabilidad de red,8,34,11251
Ataque DDoS,58,Vulnerabilidad de red,8,86,30723
Botnet,22,Vulnerabilidad de red,5,18,17206
Ataque DDoS,22,Ingeniería social,7,18,21946
Spyware,53,Correo electrónico,5,4,5271
Spyware,52,Descarga de archivos,7,40,1531
Gusano (Worm),52,Sitio web comprometido,9,108,10264
Botnet,33,Vulnerabilidad de red,7,120,6630
Adware,31,Descarga de archivos,1,4,1987
Ransomware,19,Correo electrónico,7,356,28154
Rootkit,19,Vulnerabilidad de red,8,141,27496
Botnet,28,Vulnerabilidad de red,9,94,12736
Ataque DDoS,58,Ingeniería social,10,108,8996
Phishing,61,Ingeniería social,5,72,2584
Gusano (Worm),34,Correo electrónico,8,109,12765
Phishing,96,Sitio web comprometido,6,13,8627
Ransomware,30,Sitio web comprometido,10,391,34086
Spyware,45,Sitio web comprometido,3,48,5202
Ataque DDoS,31,Sitio web comprometido,5,38,4145
Troyano,53,Descarga de archivos,8,44,10037
Phishing,46,Correo electrónico,8,73,4785
Ataque DDoS,17,Vulnerabilidad de red,9,23,16387
Spyware,46,Sitio web comprometido,7,8,1226
Troyano,45,Ingeniería social,9,55,2790
Ataque DDoS,15,Ingeniería social,5,153,31703
Adware,47,Sitio web comprometido,1,1,1098
Virus,36,Descarga de archivos,6,68,7780
Ransomware,13,Vulnerabilidad de red,8,237,27172
Ataque DDoS,15,Vulnerabilidad de red,9,14,22209
Virus,56,Correo electrónico,3,65,6293
Botnet,16,Vulnerabilidad de red,9,103,14431
Spyware,31,Sitio web comprometido,6,8,3530
Ransomware,44,Correo electrónico,10,475,46418
Ransomware,43,Vulnerabilidad de red,8,247,29754
Gusano (Worm),47,Correo electrónico,6,22,10151
Gusano (Worm),32,USB,6,143,13821
Ransomware,18,Correo electrónico,7,195,40132
Troyano,65,Descarga de archivos,6,76,9308
Rootkit,34,Vulnerabilidad de red,9,131,39916
Adware,58,Sitio web comprometido,1,14,900
Rootkit,21,Vulnerabilidad de red,10,221,17213
Rootkit,35,Descarga de archivos,10,109,37255
Rootkit,17,Descarga de archivos,7,33,15397
Phishing,98,Sitio web comprometido,5,41,3604
Spyware,35,Descarga de archivos,5,50,224
Ransomware,27,Correo electrónico,9,220,15522
Virus,68,Descarga de archivos,3,52,2165
Virus,54,Descarga de archivos,5,2,4873
Ransomware,40,Correo electrónico,7,455,13984
Spyware,44,Descarga de archivos,4,31,5945
Spyware,43,Descarga de archivos,5,39,4766
Phishing,74,Correo electrónico,5,59,11083
Phishing,69,Correo electrónico,8,94,1710
Virus,45,Correo electrónico,3,17,1248
Spyware,25,Descarga de archivos,5,45,3938
Rootkit,30,Vulnerabilidad de red,8,73,20598
Rootkit,13,USB,9,77,30526
Gusano (Worm),54,Vulnerabilidad de red,7,40,4721
Phishing,51,Correo electrónico,8,89,6527
Ransomware,31,Vulnerabilidad de red,8,282,6241
Phishing,61,Correo electrónico,5,21,12694
Adware,31,Sitio web comprometido,4,14,1849
Spyware,21,Descarga de archivos,6,23,1215
Botnet,16,Vulnerabilidad de red,9,55,5781
Phishing,55,Ingeniería social,7,77,7996
Ataque DDoS,49,Ingeniería social,9,174,3523
Troyano,49,Ingeniería social,5,52,1975
Botnet,40,Correo electrónico,6,146,3835
Virus,57,Descarga de archivos,5,66,7404
Ataque DDoS,60,Ingeniería social,9,135,29234
Ataque DDoS,27,Vulnerabilidad de red,10,44,12145
Phishing,98,Correo electrónico,5,32,2225
Gusano (Worm),60,Vulnerabilidad de red,8,109,2899
Adware,50,Sitio web comprometido,4,15,1005
Spyware,56,Descarga de archivos,3,35,1173
Ataque DDoS,32,Vulnerabilidad de red,6,32,2079
Virus,56,Correo electrónico,5,76,1664
Spyware,35,Descarga de archivos,6,4,1168
Phishing,97,Correo electrónico,6,37,8297
Phishing,72,Correo electrónico,6,64,11382
Spyware,57,Descarga de archivos,6,44,4228
Phishing,68,Ingeniería social,5,49,5456
Adware,82,Descarga de archivos,1,1,944
Ataque DDoS,26,Ingeniería social,9,167,6248
Rootkit,18,Vulnerabilidad de red,7,76,12237
Virus,42,Descarga de archivos,7,51,975
Rootkit,31,Vulnerabilidad de red,9,280,18468
Ransomware,55,Sitio web comprometido,7,202,16280
Ransomware,47,Sitio web comprometido,8,146,39709
Ransomware,10,Correo electrónico,7,79,18502
Spyware,52,Sitio web comprometido,4,24,5222
Virus,71,Correo electrónico,7,12,6471
Spyware,50,Descarga de archivos,5,45,522
Adware,66,Descarga de archivos,1,16,602
Virus,83,Sitio web comprometido,7,18,3806
Troyano,52,Correo electrónico,8,60,9622
Troyano,27,Descarga de archivos,9,32,14191
Virus,74,Descarga de archivos,6,54,3273
Phishing,64,Correo electrónico,8,37,10078
Gusano (Worm),43,Correo electrónico,5,144,3988
Ransomware,41,Vulnerabilidad de red,8,223,11538
Phishing,81,Correo electrónico,6,19,1877
Phishing,77,Correo electrónico,4,85,11421
Phishing,77,Correo electrónico,5,94,13944
Ransomware,36,Descarga de archivos,8,454,14407
Virus,40,USB,6,43,245
Ransomware,53,Vulnerabilidad de red,7,406,14874
Adware,69,Descarga de archivos,1,16,929
Troyano,44,Descarga de archivos,6,59,3087
Spyware,36,Descarga de archivos,4,33,4312
Virus,35,Descarga de archivos,6,34,4604
Adware,82,Descarga de archivos,1,10,634
Botnet,13,Vulnerabilidad de red,5,51,24959
Virus,42,USB,3,37,1880
Botnet,40,Vulnerabilidad de red,5,48,20253
Phishing,97,Correo electrónico,8,88,985
Phishing,70,Correo electrónico,5,73,3353
Phishing,77,Ingeniería social,8,74,779
Botnet,16,Vulnerabilidad de red,8,74,3290
Adware,69,Sitio web comprometido,2,17,1267
Adware,30,Descarga de archivos,3,4,508
Troyano,44,Correo electrónico,8,18,16251
Botnet,11,Correo electrónico,6,162,18839
Adware,82,Sitio web comprometido,2,16,1480
Virus,43,Descarga de archivos,4,38,540
Virus,66,Correo electrónico,4,16,3682
Botnet,31,Correo electrónico,8,167,15767
Phishing,87,Sitio web comprometido,5,89,7617
Botnet,34,Descarga de archivos,8,48,9647
Botnet,35,Vulnerabilidad de red,9,135,11748
Ransomware,38,Correo electrónico,7,463,17003
Botnet,30,Vulnerabilidad de red,8,36,5193
Troyano,45,Sitio web comprometido,7,113,4295
Troyano,31,Descarga de archivos,9,16,3881
Botnet,39,Sitio web comprometido,5,111,4407
Troyano,52,Sitio web comprometido,8,60,3852
Troyano,39,Descarga de archivos,6,88,16894
Gusano (Worm),52,Vulnerabilidad de red,6,92,14479
Spyware,52,Sitio web comprometido,7,40,1369
Troyano,49,Ingeniería social,6,41,12414
Adware,38,Descarga de archivos,3,15,964
Troyano,44,Descarga de archivos,9,38,981
Rootkit,19,Sitio web comprometido,8,114,11398
Botnet,18,Descarga de archivos,9,186,14655
Troyano,47,Descarga de archivos,8,73,2575
Troyano,62,Descarga de archivos,9,87,15657
Troyano,67,Sitio web comprometido,7,14,6395
Spyware,30,Sitio web comprometido,5,50,1774
Phishing,48,Correo electrónico,8,76,3796
Phishing,80,Ingeniería social,7,9,6588
Virus,55,Descarga de archivos,4,44,7953
Ataque DDoS,24,Ingeniería social,5,148,34298
Spyware,49,Sitio web comprometido,7,46,2623
Ransomware,15,Correo electrónico,10,81,47486
Ransomware,54,Sitio web comprometido,7,293,15779
Spyware,56,USB,3,46,716
Ransomware,17,Vulnerabilidad de red,9,403,33220
Botnet,41,Vulnerabilidad de red,9,106,11183
Adware,65,Descarga de archivos,1,12,1571
Phishing,50,Ingeniería social,7,46,9827
Adware,88,Descarga de archivos,4,20,1401
Troyano,48,Ingeniería social,5,19,12127
Ransomware,53,Sitio web comprometido,8,55,14357
Phishing,45,Ingeniería social,6,90,12527
Adware,49,Descarga de archivos,3,3,1942
Troyano,36,Sitio web comprometido,7,71,8623
Rootkit,13,Vulnerabilidad de red,10,257,14151
Ataque DDoS,16,Vulnerabilidad de red,10,159,23545
Phishing,99,Correo electrónico,5,20,695
Phishing,60,Correo electrónico,8,18,10249
Adware,56,Descarga de archivos,2,9,476
Rootkit,31,Vulnerabilidad de red,8,288,31613
Gusano (Worm),41,Vulnerabilidad de red,5,134,11210
Virus,81,Sitio web comprometido,5,66,3433
Adware,35,Descarga de archivos,3,15,881
Spyware,60,Descarga de archivos,5,28,406
Virus,79,Descarga de archivos,4,18,3736
Ransomware,34,Vulnerabilidad de red,8,123,42679
Phishing,45,Ingeniería social,5,53,442
Adware,42,Sitio web comprometido,4,18,587
Adware,71,Sitio web comprometido,4,13,448
Gusano (Worm),47,Vulnerabilidad de red,9,28,11046
Adware,60,Sitio web comprometido,3,13,601
Ataque DDoS,60,Vulnerabilidad de red,6,43,21979
Gusano (Worm),43,Sitio web comprometido,9,132,18022
Botnet,13,Descarga de archivos,6,147,5523
Ataque DDoS,43,Ingeniería social,8,149,29966
Rootkit,6,USB,7,169,39610
Phishing,55,Ingeniería social,8,87,5810
Ransomware,39,Descarga de archivos,8,175,14150
Rootkit,25,Vulnerabilidad de red,8,130,18547
Troyano,32,Correo electrónico,6,94,13034
Adware,88,Correo electrónico,1,11,347
Ransomware,41,Correo electrónico,10,56,45440
Botnet,17,Vulnerabilidad de red,6,195,23259
Spyware,39,Correo electrónico,4,55,3993
Rootkit,22,Vulnerabilidad de red,10,264,21928
Phishing,42,Ingeniería social,5,39,1693
Troyano,68,Descarga de archivos,8,118,16594
Spyware,23,Descarga de archivos,7,33,573
Troyano,34,Sitio web comprometido,7,103,16430
Ransomware,47,Vulnerabilidad de red,7,342,17994
Adware,50,Sitio web comprometido,1,13,997
Ataque DDoS,21,Ingeniería social,9,78,32122
Troyano,64,Descarga de archivos,6,102,7380
Phishing,79,Correo electrónico,4,34,2175
Gusano (Worm),63,Sitio web comprometido,9,106,8735
Troyano,48,Sitio web comprometido,9,54,11072
Gusano (Worm),35,Vulnerabilidad de red,5,123,11473
Spyware,47,USB,5,12,3878
Virus,41,USB,4,8,6953
Ataque DDoS,57,Vulnerabilidad de red,6,119,4478
Virus,63,Correo electrónico,5,5,3822
Phishing,97,Ingeniería social,6,53,8086
Gusano (Worm),43,Correo electrónico,9,59,16543
Ransomware,49,Correo electrónico,7,146,21396
Ransomware,50,Correo electrónico,7,88,41758
Botnet,35,Vulnerabilidad de red,6,56,4782
Gusano (Worm),63,Sitio web comprometido,7,143,17172
Adware,51,Correo electrónico,1,19,1981
Ataque DDoS,37,Vulnerabilidad de red,8,55,28159
Virus,72,USB,5,16,6163
Troyano,55,Sitio web comprometido,9,81,3068
Rootkit,32,Vulnerabilidad de red,8,137,3329
Ransomware,40,Correo electrónico,9,166,41545
Botnet,30,Vulnerabilidad de red,8,178,23983
Rootkit,15,Vulnerabilidad de red,9,221,29634
Ataque DDoS,31,Vulnerabilidad de red,10,27,23561
Phishing,77,Correo electrónico,6,85,11400
Spyware,59,Descarga de archivos,5,10,3045
Adware,58,Descarga de archivos,3,3,250
Adware,81,Descarga de archivos,3,15,1424
Phishing,97,Correo electrónico,6,85,11194
Troyano,54,Sitio web comprometido,9,65,11398
Ransomware,53,Sitio web comprometido,10,383,28494
Virus,80,Correo electrónico,5,57,3093
Virus,53,Sitio web comprometido,6,27,3520
Troyano,44,Sitio web comprometido,8,18,5262
Virus,35,Correo electrónico,4,52,2730
Virus,38,Correo electrónico,4,70,4560
Spyware,37,Descarga de archivos,4,58,1187
Botnet,34,Vulnerabilidad de red,7,200,5214
Spyware,23,Descarga de archivos,7,45,1798
Rootkit,34,USB,9,164,36398
Phishing,69,Correo electrónico,6,81,1621
Phishing,55,Ingeniería social,7,30,12004
Phishing,85,Correo electrónico,8,73,13515
Troyano,37,Sitio web comprometido,9,89,6220
Ransomware,15,Vulnerabilidad de red,8,313,7444
Botnet,31,Vulnerabilidad de red,7,81,19987
Troyano,41,Correo electrónico,7,84,15174
Ransomware,35,Sitio web comprometido,8,227,28859
Adware,72,Sitio web comprometido,1,13,1937
Phishing,62,Ingeniería social,5,74,3748
Gusano (Worm),59,Vulnerabilidad de red,9,76,19080
Ataque DDoS,58,Vulnerabilidad de red,10,174,1496
Rootkit,28,Descarga de archivos,10,230,28942
Adware,81,Descarga de archivos,2,5,125
Adware,42,Descarga de archivos,2,7,454
Ataque DDoS,26,Vulnerabilidad de red,8,16,21799
Ransomware,38,Vulnerabilidad de red,7,179,14785
Gusano (Worm),40,Sitio web comprometido,8,132,15617
Adware,77,Sitio web comprometido,4,16,1502
Phishing,61,Correo electrónico,4,41,11462
Adware,88,Descarga de archivos,2,7,479
Ataque DDoS,44,Ingeniería social,5,150,10952
Rootkit,8,Vulnerabilidad de red,9,49,38163
Ataque DDoS,53,Vulnerabilidad de red,10,163,18908
Ataque DDoS,19,Sitio web comprometido,9,73,27081
Adware,52,Descarga de archivos,2,7,427
Phishing,51,Ingeniería social,8,39,8887
Ransomware,47,Correo electrónico,7,376,14835
Gusano (Worm),53,Correo electrónico,7,113,2271
Spyware,40,Descarga de archivos,4,12,986
Phishing,57,Correo electrónico,7,60,720
Troyano,30,Descarga de archivos,8,45,12743
Spyware,47,Correo electrónico,3,34,3632
Gusano (Worm),64,Vulnerabilidad de red,9,145,8181
Spyware,57,Descarga de archivos,7,13,3025
Botnet,47,Descarga de archivos,7,184,1587
Ataque DDoS,31,Sitio web comprometido,8,101,23864
Virus,77,Descarga de archivos,7,53,5375
Phishing,43,Ingeniería social,6,8,10476
Rootkit,29,Descarga de archivos,8,110,2379
Ataque DDoS,42,Sitio web comprometido,9,145,24767
Ransomware,48,Correo electrónico,10,148,36209
Ataque DDoS,22,Vulnerabilidad de red,10,132,14749
Ransomware,34,Correo electrónico,7,430,49003
Troyano,57,Descarga de archivos,5,24,15567
Ataque DDoS,38,Vulnerabilidad de red,5,87,21117
Adware,49,Sitio web comprometido,3,12,296
Gusano (Worm),38,Vulnerabilidad de red,5,141,5523
Gusano (Worm),51,Sitio web comprometido,9,127,1795
Adware,33,Descarga de archivos,2,16,653
Spyware,37,Sitio web comprometido,7,4,526
Phishing,70,Sitio web comprometido,6,93,12511
Rootkit,32,Sitio web comprometido,10,192,33978
Botnet,28,Vulnerabilidad de red,7,102,8800
Virus,62,Descarga de archivos,3,77,2588
Botnet,15,Vulnerabilidad de red,8,172,1017
Phishing,59,Correo electrónico,6,67,5139
Gusano (Worm),45,Vulnerabilidad de red,5,89,2773
Adware,72,Sitio web comprometido,1,15,1262
Virus,30,Correo electrónico,4,57,4383
Phishing,68,Correo electrónico,5,28,12743
Phishing,86,Correo electrónico,5,11,4853
Ransomware,14,Vulnerabilidad de red,8,432,46158
Gusano (Worm),22,USB,9,111,11732
Rootkit,28,Vulnerabilidad de red,9,274,20668
Phishing,85,Ingeniería social,5,65,1198
Phishing,57,Ingeniería social,8,66,10639
Ataque DDoS,26,Ingeniería social,8,15,33228
Adware,86,Sitio web comprometido,4,9,1023
Botnet,38,Correo electrónico,6,155,5560
Ataque DDoS,44,Sitio web comprometido,9,109,7209
Ransomware,51,Correo electrónico,8,279,36365
Adware,67,Descarga de archivos,1,9,1029
Virus,44,USB,7,14,6726
Adware,58,Descarga de archivos,4,4,1328
Troyano,68,Correo electrónico,6,120,876
Botnet,15,Vulnerabilidad de red,7,97,24479
Spyware,23,Descarga de archivos,5,25,634
Ataque DDoS,31,Vulnerabilidad de red,6,158,18397
Troyano,68,Descarga de archivos,9,99,6686
Phishing,90,Correo electrónico,4,17,6523
Phishing,92,Ingeniería social,5,80,14438
Virus,54,Descarga de archivos,4,68,4580
Ransomware,28,Sitio web comprometido,9,489,11962
Ransomware,17,Correo electrónico,10,432,42560
Adware,35,Correo electrónico,2,4,1242
Phishing,88,Correo electrónico,4,44,3211
Ransomware,51,Vulnerabilidad de red,7,136,6970
Troyano,35,Correo electrónico,6,83,8341
Adware,31,Correo electrónico,1,1,1684
Ransomware,31,Correo electrónico,8,335,46888
Ransomware,44,Correo electrónico,7,333,14221
Adware,34,Descarga de archivos,2,10,565
Ransomware,43,Correo electrónico,10,113,41932
Phishing,87,Correo electrónico,5,93,12984
Virus,31,Descarga de archivos,5,58,5585
Phishing,47,Correo electrónico,7,50,8851
Adware,67,Descarga de archivos,4,15,1377
Rootkit,16,USB,8,230,24199
Botnet,21,Descarga de archivos,9,110,1837
Botnet,24,Vulnerabilidad de red,6,169,11374
Ataque DDoS,56,Vulnerabilidad de red,5,27,31794
Adware,38,Descarga de archivos,2,15,1099
Gusano (Worm),49,Correo electrónico,6,42,14263
Virus,30,Correo electrónico,4,20,6721
Virus,52,USB,3,19,372
Troyano,35,Sitio web comprometido,6,88,5548
Ataque DDoS,54,Ingeniería social,10,15,13964
Botnet,15,Vulnerabilidad de red,6,125,15507
Spyware,43,USB,7,44,5907
Gusano (Worm),24,Vulnerabilidad de red,7,52,1508
Adware,50,Descarga de archivos,3,20,1468
Virus,41,Descarga de archivos,3,38,2355
Virus,42,Descarga de archivos,5,78,3115
